origin_id,origin_zone,count(*),school_lat,school_long,dest_id,dest_school,zone_lat,zone_long,,
33,Taba,3,27.464768,89.651733,111,Educating for Lifelong Citizenship High School,27.5129062519,89.6451777064,,
35,Tshalumarphey,1,27.464768,89.651733,111,Educating for Lifelong Citizenship High School,27.4377037677,89.6555866401,,
36,Yangchenphug,1,27.464768,89.651733,111,Educating for Lifelong Citizenship High School,27.467397,89.6467373768,,
38,Zilukha,1,27.464768,89.651733,111,Educating for Lifelong Citizenship High School,27.4855720912,89.6302952398,,
1,Babesa,5,27.467893,89.636448,112,Etho Metho PS,27.4291816677,89.6472096023,,
4,Changangkha,22,27.467893,89.636448,112,Etho Metho PS,27.4724539904,89.6308464685,,
4,Changbangdu,4,27.467893,89.636448,112,Etho Metho PS,27.4513917224,89.6472442834,,
5,Changgidaphu,6,27.467893,89.636448,112,Etho Metho PS,27.4599353896,89.6333761155,,
6,Changjalu,13,27.467893,89.636448,112,Etho Metho PS,27.4469707462,89.6587524835,,
7,Changzamtog,19,27.467893,89.636448,112,Etho Metho PS,27.4611489703,89.641853715,,
8,Chanjiji,9,27.467893,89.636448,112,Etho Metho PS,27.4555043578,89.6529220173,,
9,Core,23,27.467893,89.636448,112,Etho Metho PS,27.4733136477,89.6382533581,,
11,Dechencholing,3,27.467893,89.636448,112,Etho Metho PS,27.5326052807,89.6425383727,,
13,Gangchey,1,27.467893,89.636448,112,Etho Metho PS,27.4177850318,89.6418826587,,
15,Hejo,7,27.467893,89.636448,112,Etho Metho PS,27.50077888,89.6336932565,,
17,Jungshina,5,27.467893,89.636448,112,Etho Metho PS,27.5107091633,89.6341291296,,
18,Kabisa,2,27.467893,89.636448,112,Etho Metho PS,27.5490698811,89.6542996104,,
19,Kawangjangsa,1,27.467893,89.636448,112,Etho Metho PS,27.4855720912,89.6302952398,,
22,Langjophakha,5,27.467893,89.636448,112,Etho Metho PS,27.4958974797,89.6413215052,,
24,Motithang,3,27.467893,89.636448,112,Etho Metho PS,27.4766506425,89.6197167055,,
25,Namseyling,1,27.467893,89.636448,112,Etho Metho PS,27.404257,89.6064,,
26,Olakha,5,27.467893,89.636448,112,Etho Metho PS,27.4469707462,89.6587524835,,
27,Pamtsho,1,27.467893,89.636448,112,Etho Metho PS,27.5107091633,89.6341291296,,
29,RTC,2,27.467893,89.636448,112,Etho Metho PS,27.4034984778,89.6566570452,,
32,Simtokha,4,27.467893,89.636448,112,Etho Metho PS,27.4344083978,89.6678739051,,
33,Taba,8,27.467893,89.636448,112,Etho Metho PS,27.5129062519,89.6451777064,,
36,Yangchenphug,9,27.467893,89.636448,112,Etho Metho PS,27.467397,89.6467373768,,
38,Zilukha,2,27.467893,89.636448,112,Etho Metho PS,27.4855720912,89.6302952398,,
1,Babesa,43,27.477071,89.638968,113,Jigme Losel PS,27.4291816677,89.6472096023,,
2,Begana,23,27.477071,89.638968,113,Jigme Losel PS,27.5718908596,89.6357002125,,
4,Changangkha,23,27.477071,89.638968,113,Jigme Losel PS,27.4724539904,89.6308464685,,
4,Changbangdu,23,27.477071,89.638968,113,Jigme Losel PS,27.4513917224,89.6472442834,,
5,Changgidaphu,16,27.477071,89.638968,113,Jigme Losel PS,27.4599353896,89.6333761155,,
